Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
33,NISN,Financial Services,Credit Services,NASDAQ,258.26,99,99,98,98
34,SHCRW,n/a,n/a,NASDAQ,254.17,99,99,99,1
35,PSNL,Healthcare,Diagnostics & Research,NASDAQ,251.89,99,99,99,26
36,MSTR,Technology,Software—Application,NASDAQ,249.11,99,97,99,99
37,CADL,Healthcare,Biotechnology,NASDAQ,243.76,99,99,99,99
38,MESO,Healthcare,Biotechnology,NASDAQ,242.42,99,98,98,98
39,TKNO,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,241.9,99,98,21,11
40,EBS,Healthcare,Drug Manufacturers—Specialty & Generic,NYSE,239.81,99,98,99,18
41,JANX,Healthcare,Biotechnology,NASDAQ,237.19,99,99,99,99
42,TISI,Industrials,Specialty Business Services,NYSE,235.71,99,98,81,41
43,SRRK,Healthcare,Biotechnology,NASDAQ,235.1,99,20,18,95
44,IPW,Consumer Cyclical,Internet Retail,NASDAQ,233.58,99,97,99,18
45,RZLT,Healthcare,Biotechnology,NASDAQ,233.14,99,99,99,98
46,SMR,Utilities,Utilities—Renewable,NYSE,231.73,99,94,99,94
47,ADMA,Healthcare,Biotechnology,NASDAQ,230.02,99,99,99,95
48,EVGO,Consumer Cyclical,Specialty Retail,NASDAQ,229.99,99,96,93,7
49,GEVO,Basic Materials,Specialty Chemicals,NASDAQ,229.35,99,96,9,10
50,JVA,Consumer Defensive,Packaged Foods,NASDAQ,228.94,99,99,98,93
51,CURI,Communication Services,Broadcasting,NASDAQ,228.91,99,99,91,94
52,AEYE,Technology,Software—Application,NASDAQ,227.07,99,99,99,99
53,BVS,Healthcare,Medical Devices,NASDAQ,223.48,99,99,97,96
54,GDS,Technology,Information Technology Services,NASDAQ,221.75,99,97,94,16
55,EWTX,Healthcare,Biotechnology,NASDAQ,220.98,99,95,98,96
56,APP,Technology,Software—Application,NASDAQ,220.37,99,98,97,98
57,VST,Utilities,Utilities—Independent Power Producers,NYSE,220.34,99,96,97,98
58,EOSE,Industrials,Electrical Equipment & Parts,NASDAQ,219.98,98,99,96,5
59,POWL,Industrials,Electrical Equipment & Parts,NASDAQ,216.52,98,92,93,98
60,VKTX,Healthcare,Biotechnology,NASDAQ,215.95,98,99,99,99
61,ZETA,Technology,Software—Application,NYSE,215.37,98,99,97,87
62,GGAL,Financial Services,Banks—Regional,NASDAQ,215.36,98,98,93,97
63,BMA,Financial Services,Banks—Regional,NYSE,211.88,98,98,97,98
64,SG,Consumer Cyclical,Restaurants,NYSE,211.32,98,98,95,98
65,AKA,Consumer Cyclical,Internet Retail,NYSE,211.08,98,99,97,96
66,FTAI,Industrials,Rental & Leasing Services,NASDAQ,210.48,98,98,98,97
67,UAMY,Basic Materials,Other Industrial Metals & Mining,NYSE MKT,208.33,98,98,54,19
68,RGS,Consumer Cyclical,Personal Services,NASDAQ,208.03,98,99,99,2
69,PI,Technology,Communication Equipment,NASDAQ,207.2,98,97,97,92
70,SWIM,Industrials,Building Products & Equipment,NASDAQ,206.84,98,98,54,81
71,APLT,Healthcare,Biotechnology,NASDAQ,205.39,98,90,97,98
72,VHI,Basic Materials,Chemicals,NYSE,204.57,98,97,56,50
73,PRM,Basic Materials,Specialty Chemicals,NYSE,204.19,98,98,96,94
74,CRMD,Healthcare,Biotechnology,NASDAQ,204.07,98,97,70,93
75,CMPO,Industrials,Metal Fabrication,NASDAQ,197.78,98,98,86,57
76,UXIN,Consumer Cyclical,Auto & Truck Dealerships,NASDAQ,197.04,98,4,6,2
77,IESC,Industrials,Engineering & Construction,NASDAQ,195.27,98,95,97,98
78,AVAH,Healthcare,Medical Care Facilities,NASDAQ,193.34,98,99,96,90
79,JG,Technology,Software—Infrastructure,NASDAQ,193.2,98,96,18,19
80,WULF,Financial Services,Capital Markets,NASDAQ,191.7,98,96,99,96
81,TREE,Financial Services,Financial Conglomerates,NASDAQ,191.07,98,98,98,95
82,ETON,Healthcare,Biotechnology,NASDAQ,190.62,98,92,38,25
83,BBAR,Financial Services,Banks—Regional,NYSE,190.18,98,97,95,97
84,SNAL,Communication Services,Electronic Gaming & Multimedia,NASDAQ,190.14,98,17,10,25
85,QH,Technology,Software—Application,NASDAQ,188.11,98,81,4,3
86,BYRN,Industrials,Aerospace & Defense,NASDAQ,186.62,98,99,94,98
87,SLNHP,Technology,Scientific & Technical Instruments,NASDAQ,186.39,98,98,99,54
88,PCTTU,Industrials,Pollution & Treatment Controls,NASDAQ,185.3,98,93,70,78
89,MYTE,Consumer Cyclical,Luxury Goods,NYSE,185.12,98,31,69,85
90,TPC,Industrials,Engineering & Construction,NYSE,184.97,98,98,99,97
91,NRIX,Healthcare,Biotechnology,NASDAQ,184.54,98,98,98,97
92,AGMH,Technology,Software—Application,NASDAQ,184.51,98,84,1,8
93,SPRY,Healthcare,Biotechnology,NASDAQ,183.32,98,97,96,93
94,DDL,Consumer Defensive,Grocery Stores,NYSE,183.16,98,95,85,10
95,ROOT,Financial Services,Insurance—Property & Casualty,NASDAQ,183.07,98,98,99,99
96,RKLB,Industrials,Aerospace & Defense,NASDAQ,181.82,98,95,72,15
97,BNTC,Healthcare,Biotechnology,NASDAQ,181.2,98,97,98,98
98,OCUL,Healthcare,Biotechnology,NASDAQ,180.89,98,97,97,87
99,TVTX,Healthcare,Biotechnology,NASDAQ,180.76,98,96,86,6
100,NTRB,Healthcare,Biotechnology,NASDAQ,180.71,98,90,98,80
101,OPT,Healthcare,Biotechnology,NASDAQ,180.06,98,93,13,88
102,POET,Technology,Semiconductors,NASDAQ,179.36,98,98,98,21
103,INSM,Healthcare,Biotechnology,NASDAQ,178.98,98,98,99,64
104,CHCI,Real Estate,Real Estate—Diversified,NASDAQ,178.3,98,96,72,89
105,MBRX,Healthcare,Biotechnology,NASDAQ,178.02,98,99,99,99
106,LUNR,Industrials,Aerospace & Defense,NASDAQ,177.09,98,93,34,92
107,AXGN,Healthcare,Medical Devices,NASDAQ,176.91,98,98,90,36
108,DUO,Real Estate,Real Estate Services,NASDAQ,176.07,98,9,14,3
109,IGMS,Healthcare,Biotechnology,NASDAQ,173.59,98,98,92,26
110,PLSE,Healthcare,Medical Instruments & Supplies,NASDAQ,173.54,98,99,99,67
111,IPX,Basic Materials,Other Industrial Metals & Mining,NASDAQ,173.44,98,95,91,94
112,LMB,Industrials,Engineering & Construction,NASDAQ,173.32,98,96,96,94
113,ANNX,Healthcare,Biotechnology,NASDAQ,173.25,98,97,96,89
114,NAMSW,Healthcare,Biotechnology,NASDAQ,173.23,98,96,99,99
115,LX,Financial Services,Credit Services,NASDAQ,173.18,97,27,24,16
116,PLTR,Technology,Software—Infrastructure,NYSE,173.0,97,97,94,94
117,CATX,n/a,n/a,NYSE MKT,172.92,97,99,98,99
118,USAP,Basic Materials,Steel,NASDAQ,172.88,97,97,96,97
119,GATO,Basic Materials,Other Precious Metals & Mining,NYSE,172.02,97,98,97,96
120,RDW,Industrials,Aerospace & Defense,NYSE,171.26,97,95,98,87
121,INLX,Technology,Software—Application,NYSE MKT,171.01,97,97,88,95
122,CNTA,Healthcare,Biotechnology,NASDAQ,170.96,97,98,62,90
123,COHR,Technology,Scientific & Technical Instruments,NYSE,170.65,97,93,95,86
124,NUTX,Healthcare,Health Information Services,NASDAQ,169.99,97,99,4,0
125,GDC,Communication Services,Electronic Gaming & Multimedia,NASDAQ,169.72,97,99,48,1
126,SUPV,Financial Services,Banks—Regional,NYSE,169.66,97,97,96,98
127,PCT,Industrials,Pollution & Treatment Controls,NASDAQ,169.65,97,94,73,73
128,SAVA,Healthcare,Biotechnology,NASDAQ,169.42,97,86,4,45
129,CLPT,Healthcare,Medical Devices,NASDAQ,169.38,97,98,76,19
130,AGX,Industrials,Engineering & Construction,NYSE,168.61,97,96,94,93
131,RMTI,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,168.34,97,98,62,22
132,BKTI,Technology,Communication Equipment,NYSE MKT,168.33,97,96,31,62
133,RSI,Consumer Cyclical,Gambling,NYSE,168.07,97,95,98,93
134,CSTL,Healthcare,Diagnostics & Research,NASDAQ,167.74,97,94,70,73
135,VITL,Consumer Defensive,Farm Products,NASDAQ,167.63,97,95,99,98
136,VERA,Healthcare,Biotechnology,NASDAQ,167.54,97,96,97,99
137,PPTA,Basic Materials,Other Precious Metals & Mining,NASDAQ,167.44,97,98,93,96
138,AMSC,Industrials,Specialty Industrial Machinery,NASDAQ,167.24,97,95,99,97
139,LWAY,Consumer Defensive,Packaged Foods,NASDAQ,167.2,97,97,43,98
140,PNTG,Healthcare,Medical Care Facilities,NASDAQ,166.89,97,98,96,95
141,LFVN,Consumer Defensive,Packaged Foods,NASDAQ,165.79,97,93,53,85
142,AIRG,Technology,Communication Equipment,NASDAQ,165.7,97,94,95,90
143,EAT,Consumer Cyclical,Restaurants,NYSE,165.64,97,94,95,85
144,UPST,Financial Services,Credit Services,NASDAQ,164.19,97,86,32,21
145,IDR,Basic Materials,Gold,NYSE MKT,164.17,97,97,95,95
146,CVKD,Healthcare,Biotechnology,NASDAQ,164.17,97,86,10,4
147,SE,Consumer Cyclical,Internet Retail,NYSE,164.05,97,94,89,84
148,VRNA,Healthcare,Biotechnology,NASDAQ,163.69,97,97,90,27
149,AUR,Technology,Information Technology Services,NASDAQ,163.63,97,97,95,84
150,CRS,Industrials,Metal Fabrication,NYSE,162.88,97,97,96,90
151,SGMO,Healthcare,Biotechnology,NASDAQ,162.88,97,95,9,19
152,PW,Real Estate,REIT—Specialty,NYSE MKT,162.83,97,95,97,7
153,SFM,Consumer Defensive,Grocery Stores,NASDAQ,162.55,97,97,95,94
154,RYAM,Basic Materials,Chemicals,NYSE,161.7,97,97,92,36
155,KOSS,Technology,Consumer Electronics,NASDAQ,161.69,97,98,99,13
156,QFIN,Financial Services,Credit Services,NASDAQ,161.62,97,92,69,74
157,CIA,Financial Services,Insurance—Life,NYSE,160.78,97,66,61,17
158,CLMB,Technology,Electronics & Computer Distribution,NASDAQ,160.77,97,96,75,88
159,MNPR,Healthcare,Biotechnology,NASDAQ,160.68,97,92,80,85
160,NVAX,Healthcare,Biotechnology,NASDAQ,160.58,97,96,99,15
161,VNET,Technology,Information Technology Services,NASDAQ,159.94,97,72,49,8
162,NVDA,Technology,Semiconductors,NASDAQ,159.77,97,95,98,97
163,HYLN,Consumer Cyclical,Auto Parts,NYSE,159.27,97,97,97,79
164,CLBT,Technology,Software—Infrastructure,NASDAQ,159.04,97,97,92,92
165,AUST,Basic Materials,Gold,NYSE MKT,158.86,97,66,83,76
166,AQST,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,158.75,97,98,87,99
167,VIOT,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,158.7,97,96,82,7
168,INOD,Technology,Information Technology Services,NASDAQ,158.59,97,95,99,8
169,SRTS,Healthcare,Medical Devices,NASDAQ,158.2,97,97,98,56
170,GVP,Technology,Software—Application,NASDAQ,157.81,97,80,93,86
171,DRUG,Healthcare,Biotechnology,NASDAQ,157.59,96,38,12,6
172,FUTU,Financial Services,Capital Markets,NASDAQ,157.49,96,30,71,82
173,PTGX,Healthcare,Biotechnology,NASDAQ,156.95,96,97,95,87
174,VRT,Industrials,Electrical Equipment & Parts,NYSE,156.93,96,92,97,99
175,CEG,Utilities,Utilities—Renewable,NASDAQ,156.78,96,87,92,97
176,HOOD,Technology,Software—Infrastructure,NASDAQ,156.57,96,92,97,95
177,MTTR,Technology,Software—Application,NASDAQ,156.22,96,95,97,97
178,HIMS,Consumer Defensive,Household & Personal Products,NYSE,155.99,96,89,98,92
179,EUDA,Healthcare,Health Information Services,NASDAQ,155.7,96,96,99,97
180,GNSS,Technology,Scientific & Technical Instruments,NASDAQ,155.66,96,97,82,56
181,TELZ,n/a,n/a,NYSE MKT,155.61,96,96,79,19
182,DOYU,Communication Services,Internet Content & Information,NASDAQ,155.4,96,97,97,25
183,VSSYW,n/a,n/a,NASDAQ,155.36,96,99,99,98
184,NTRA,Healthcare,Diagnostics & Research,NASDAQ,154.91,96,96,96,96
185,TIGR,Financial Services,Capital Markets,NASDAQ,154.66,96,15,77,29
186,LUMO,Healthcare,Biotechnology,NASDAQ,154.54,96,93,3,26
187,USLM,Basic Materials,Building Materials,NASDAQ,154.2,96,94,95,92
188,GCI,Communication Services,Publishing,NYSE,154.1,96,95,97,75
189,UI,Technology,Communication Equipment,NYSE,154.05,96,93,87,13
190,DYN,Healthcare,Biotechnology,NASDAQ,153.41,96,98,99,98
191,PRAX,Healthcare,Biotechnology,NASDAQ,153.11,96,98,97,98
192,MOD,Consumer Cyclical,Auto Parts,NYSE,153.02,96,96,97,98
193,REAX,Real Estate,Real Estate Services,NASDAQ,152.82,96,99,99,98
194,FIP,Industrials,Conglomerates,NASDAQ,152.65,96,97,98,98
195,ASM,Basic Materials,Other Precious Metals & Mining,NYSE MKT,152.6,96,94,94,84
196,WLDN,Industrials,Engineering & Construction,NASDAQ,152.54,96,94,93,93
197,NGD,Basic Materials,Gold,NYSE MKT,152.4,96,98,95,91
198,YOU,Technology,Software—Application,NYSE,152.1,96,94,46,23
199,ORGN,Basic Materials,Chemicals,NASDAQ,152.07,96,97,50,11
200,MMYT,Consumer Cyclical,Travel Services,NASDAQ,151.97,96,97,97,97
201,CVLT,Technology,Software—Application,NASDAQ,151.92,96,96,92,89
202,TRUP,Financial Services,Insurance—Specialty,NASDAQ,151.89,96,95,87,18
203,SOUN,Technology,Software—Application,NASDAQ,151.8,96,92,97,98
204,CRDO,Technology,Communication Equipment,NASDAQ,151.77,96,87,96,78
205,VOXX,Technology,Consumer Electronics,NASDAQ,151.69,96,69,1,15
206,PCVX,Healthcare,Biotechnology,NASDAQ,150.98,96,97,92,77
207,BYSI,Healthcare,Biotechnology,NASDAQ,150.86,96,91,96,98
208,MREO,Healthcare,Biotechnology,NASDAQ,150.7,96,96,97,95
209,FIX,Industrials,Engineering & Construction,NYSE,150.49,96,89,92,97
210,SNCR,Technology,Software—Infrastructure,NASDAQ,150.43,96,97,94,63
211,COMP,Technology,Software—Application,NYSE,150.24,96,98,92,70
212,WHLRP,Real Estate,REIT—Retail,NASDAQ,150.23,96,86,94,61
213,TSE,Basic Materials,Specialty Chemicals,NYSE,150.0,96,31,6,2
214,BWAY,Healthcare,Medical Devices,NASDAQ,149.8,96,94,95,95
215,CTDD,n/a,n/a,NYSE,149.29,96,96,43,34
216,CTBB,Financial,Exchange Traded Fund,NYSE,149.22,96,96,36,37
217,DCTH,Healthcare,Medical Devices,NASDAQ,149.21,96,98,97,84
218,LEXX,Healthcare,Biotechnology,NASDAQ,148.94,96,98,98,95
219,BW,Industrials,Specialty Industrial Machinery,NYSE,148.58,96,22,63,3
220,SKE,Basic Materials,Other Industrial Metals & Mining,NYSE,148.53,96,98,88,45
221,ELMD,Healthcare,Medical Devices,NYSE MKT,148.26,96,91,85,94
222,FSI,Basic Materials,Specialty Chemicals,NYSE MKT,148.05,96,97,27,27
223,SGRP,Industrials,Specialty Business Services,NASDAQ,147.8,96,98,95,94
224,THC,Healthcare,Medical Care Facilities,NYSE,147.73,96,96,96,90
225,STRL,Industrials,Engineering & Construction,NASDAQ,147.63,96,89,92,96
226,OXBR,Financial Services,Insurance—Reinsurance,NASDAQ,147.11,96,95,98,19
227,SMTC,Technology,Semiconductors,NASDAQ,146.78,96,94,80,94
228,WOOF,Consumer Cyclical,Specialty Retail,NASDAQ,146.59,95,94,89,3
229,PAHC,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,146.4,95,94,91,65
230,TGTX,Healthcare,Biotechnology,NASDAQ,146.37,95,96,96,57
231,KYMR,Healthcare,Biotechnology,NASDAQ,146.21,95,96,97,94
232,AFRM,Technology,Software—Infrastructure,NASDAQ,145.82,95,90,74,95
233,VBFC,Financial Services,Banks—Regional,NASDAQ,145.75,95,67,65,30
234,HBB,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NYSE,145.75,95,96,83,96
235,JCSE,Industrials,Specialty Industrial Machinery,NASDAQ,145.71,95,76,87,13
236,BILI,Communication Services,Electronic Gaming & Multimedia,NASDAQ,145.51,95,55,84,25
237,STOK,Healthcare,Biotechnology,NASDAQ,145.46,95,98,97,98
238,BLND,Technology,Software—Application,NYSE,145.27,95,97,96,97
239,OSCR,Healthcare,Healthcare Plans,NYSE,145.2,95,98,95,98
240,BOOT,Consumer Cyclical,Apparel Retail,NYSE,145.13,95,95,89,90
241,JD,Consumer Cyclical,Internet Retail,NASDAQ,145.01,95,27,33,39
242,JXN,Financial Services,Insurance—Life,NYSE,144.98,95,94,96,96
243,MPTI,Technology,Electronic Components,NYSE MKT,144.9,95,76,92,89
244,WWW,Consumer Cyclical,Footwear & Accessories,NYSE,144.55,95,92,92,54
245,ACIW,Technology,Software—Infrastructure,NASDAQ,144.48,95,95,93,87
246,CYH,Healthcare,Medical Care Facilities,NYSE,144.43,95,97,73,17
247,QTWO,Technology,Software—Application,NYSE,144.29,95,95,95,94
248,HWM,Industrials,Specialty Industrial Machinery,NYSE,143.82,95,94,91,87
249,CSWI,Industrials,Specialty Industrial Machinery,NASDAQ,143.61,95,94,90,89
250,CDRO,Consumer Cyclical,Gambling,NASDAQ,143.55,95,96,97,98
251,LE,Consumer Cyclical,Specialty Retail,NASDAQ,143.53,95,95,96,95
252,ACLX,Healthcare,Biotechnology,NASDAQ,143.16,95,94,91,87
253,NMM,Industrials,Marine Shipping,NYSE,143.02,95,96,95,95
254,ELVN,Healthcare,Biotechnology,NASDAQ,142.99,95,92,89,65
255,QSG,Consumer Defensive,Education & Training Services,NASDAQ,142.94,95,15,4,27
256,XYF,Financial Services,Credit Services,NYSE,142.82,95,71,67,42
257,AAOI,Technology,Semiconductors,NASDAQ,142.76,95,61,26,97
258,HWKN,Basic Materials,Specialty Chemicals,NASDAQ,142.74,95,95,95,90
259,CCLD,Healthcare,Health Information Services,NASDAQ,142.64,95,98,90,13
260,VINE,Consumer Defensive,Beverages—Wineries & Distilleries,NYSE MKT,142.49,95,50,21,59
261,CDE,Basic Materials,Gold,NYSE,142.29,95,98,97,94
262,FICO,Technology,Software—Application,NYSE,142.29,95,95,94,82
263,APLD,Financial Services,Capital Markets,NASDAQ,141.9,95,62,94,8
264,ILAG,Industrials,Building Products & Equipment,NASDAQ,141.81,95,98,87,16
265,BFLY,Healthcare,Medical Devices,NYSE,141.15,95,96,61,7
266,LODE,Real Estate,Real Estate Services,NYSE MKT,141.03,95,48,2,7
267,ESOA,Industrials,Engineering & Construction,NASDAQ,140.93,95,98,91,97
268,TPL,Energy,Oil & Gas E&P,NYSE,140.92,95,88,92,68
269,DSGN,Healthcare,Biotechnology,NASDAQ,140.88,95,97,83,78
270,ICUI,Healthcare,Medical Instruments & Supplies,NASDAQ,140.88,95,95,65,19
271,CNK,Communication Services,Entertainment,NYSE,140.75,95,95,85,78
272,CXDO,Communication Services,Telecom Services,NASDAQ,140.61,95,93,92,97
273,TGLS,Basic Materials,Building Materials,NYSE,140.46,95,95,67,88
274,ESP,Industrials,Electrical Equipment & Parts,NYSE MKT,140.44,95,79,75,82
275,CLS,Technology,Electronic Components,NYSE,140.26,95,82,98,98
276,SKGRW,n/a,n/a,NASDAQ,139.9,95,99,98,99
277,ZIM,Industrials,Marine Shipping,NYSE,139.79,95,95,93,27
278,FNGU,Exchange Traded Fund,USA,NYSE ARCA,139.56,95,89,97,96
279,CDXC,Healthcare,Biotechnology,NASDAQ,139.52,95,96,91,98
280,KARO,Technology,Software—Application,NASDAQ,139.48,95,93,87,70
281,AIRI,Industrials,Aerospace & Defense,NYSE MKT,139.43,95,98,24,91
282,DMAC,Healthcare,Biotechnology,NASDAQ,139.33,95,96,80,50
283,GWRE,Technology,Software—Application,NYSE,138.95,95,94,91,83
284,PPIH,Industrials,Building Products & Equipment,NASDAQ,138.94,94,94,82,21
285,ARQT,Healthcare,Biotechnology,NASDAQ,138.92,94,97,96,96
286,REE,Consumer Cyclical,Recreational Vehicles,NASDAQ,138.73,94,35,24,14
287,TZOO,Communication Services,Advertising Agencies,NASDAQ,138.67,94,97,60,87
288,CORT,Healthcare,Biotechnology,NASDAQ,138.38,94,88,89,34
289,NMRK,Real Estate,Real Estate Services,NASDAQ,138.24,94,95,92,89
290,TARS,Healthcare,Biotechnology,NASDAQ,138.1,94,90,75,97
291,UG,Consumer Defensive,Household & Personal Products,NASDAQ,137.95,94,97,94,60
292,EME,Industrials,Engineering & Construction,NYSE,137.93,94,91,93,96
293,VERI,Technology,Software—Infrastructure,NASDAQ,137.47,94,92,30,93
294,EOLS,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,137.37,94,94,79,85
295,BV,Industrials,Specialty Business Services,NYSE,137.37,94,93,92,94
296,ATAT,Consumer Cyclical,Lodging,NASDAQ,137.31,94,58,26,30
297,RDNT,Healthcare,Diagnostics & Research,NASDAQ,137.18,94,94,95,93
298,VRAX,Healthcare,Biotechnology,NASDAQ,137.17,94,97,47,2
299,RERE,Consumer Cyclical,Internet Retail,NYSE,137.11,94,75,86,37
300,TMDX,Healthcare,Medical Devices,NASDAQ,137.09,94,96,98,85
301,IREN,Financial Services,Capital Markets,NASDAQ,136.83,94,70,99,88
302,YRD,Financial Services,Credit Services,NYSE,136.76,94,79,91,96
303,FNKO,Consumer Cyclical,Leisure,NASDAQ,136.6,94,90,83,17
304,SPOT,Communication Services,Internet Content & Information,NYSE,136.48,94,93,91,97
305,WHLRD,Real Estate,REIT—Retail,NASDAQ,136.46,94,89,91,81
306,GVA,Industrials,Engineering & Construction,NYSE,136.35,94,93,90,89
307,STEP,Financial Services,Asset Management,NASDAQ,136.3,94,94,93,83
308,BELFA,Technology,Electronic Components,NASDAQ,136.23,94,90,88,90
309,PRTH,Technology,Software—Infrastructure,NASDAQ,136.22,94,95,93,24
310,LC,Financial Services,Credit Services,NYSE,136.11,94,90,88,61
311,ERJ,Industrials,Aerospace & Defense,NYSE,136.05,94,96,95,93
312,IOT,Technology,Software—Infrastructure,NYSE,136.0,94,94,81,86
313,AXON,Industrials,Aerospace & Defense,NASDAQ,135.95,94,92,82,89
314,FRPT,Consumer Defensive,Packaged Foods,NASDAQ,135.8,94,91,93,92
315,WVE,Healthcare,Biotechnology,NASDAQ,135.54,94,58,76,75
316,SVM,Basic Materials,Silver,NYSE MKT,135.39,94,87,84,87
317,GNFT,Healthcare,Biotechnology,NASDAQ,135.13,94,55,77,31
318,CLPR,Real Estate,REIT—Residential,NYSE,135.1,94,79,21,20
319,DOCS,Healthcare,Health Information Services,NYSE,134.93,94,94,50,20
320,STRT,Consumer Cyclical,Auto Parts,NASDAQ,134.92,94,94,58,37
321,UNFI,Consumer Defensive,Food Distribution,NYSE,134.58,94,53,64,5
322,SITM,Technology,Semiconductors,NASDAQ,134.57,94,86,93,9
323,ASPN,Industrials,Building Products & Equipment,NYSE,134.54,94,96,98,98
324,CMCM,Communication Services,Internet Content & Information,NYSE,134.31,94,81,92,97
325,VIRT,Financial Services,Capital Markets,NASDAQ,134.24,94,95,93,69
326,XIN,Real Estate,Real Estate—Development,NYSE,134.23,94,37,65,29
327,IRM,Real Estate,REIT—Specialty,NYSE,134.22,94,94,92,82
328,RDFN,Real Estate,Real Estate Services,NASDAQ,134.21,94,98,77,10
329,CALM,Consumer Defensive,Farm Products,NASDAQ,134.13,94,85,83,79
330,BEKE,Real Estate,Real Estate Services,NYSE,133.9,94,25,46,28
331,TRGP,Energy,Oil & Gas Midstream,NYSE,133.84,94,93,92,90
332,NECB,Financial Services,Banks—Regional,NASDAQ,133.81,94,90,85,44
333,PETQ,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,133.81,94,95,79,49
334,ALHC,Healthcare,Healthcare Plans,NASDAQ,133.76,94,96,95,17
335,COGT,Healthcare,Biotechnology,NASDAQ,133.41,94,92,77,49
336,ONON,Consumer Cyclical,Apparel Retail,NYSE,133.36,94,92,87,71
337,PWP,Financial Services,Capital Markets,NASDAQ,133.36,94,92,93,94
338,HBI,Consumer Cyclical,Apparel Manufacturing,NYSE,133.31,94,91,76,62
339,CREX,Technology,Software—Application,NASDAQ,133.28,94,96,97,88
340,PRMW,Consumer Defensive,Beverages—Non-Alcoholic,NYSE,133.23,94,88,86,87
341,LTH,Consumer Cyclical,Leisure,NYSE,133.21,93,94,88,33
342,ANET,Technology,Computer Hardware,NYSE,133.17,93,89,93,84
343,RCL,Consumer Cyclical,Travel Services,NYSE,133.09,93,88,93,92
344,ISPOW,Consumer Cyclical,Leisure,NASDAQ,133.08,93,49,26,6
345,ELBM,Basic Materials,Other Industrial Metals & Mining,NASDAQ,133.05,93,85,18,15
346,ONFO,Communication Services,Internet Content & Information,NASDAQ,132.94,93,81,96,12
347,MODD,Healthcare,Medical Devices,NASDAQ,132.91,93,89,62,69
348,SKYW,Industrials,Airlines,NASDAQ,132.76,93,88,95,97
349,AMLI,Basic Materials,Other Industrial Metals & Mining,NASDAQ,132.71,93,4,8,3
